trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
77,False,"{'a': 0.5, 'e': 0.9286646355765102}",25,0,-199.68378426067343,"{0: 15, 1: 0, 2: 4, 3: 3, 4: 3}",0
78,False,"{'a': 0.5, 'e': 0.9267984326731847}",20,0,-146.92463257980674,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.9249090598573131}",20,0,-157.83020480668628,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
80,False,"{'a': 0.5, 'e': 0.9229965643631173}",25,6,-108.59092045120538,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 2}",1
81,False,"{'a': 0.5, 'e': 0.9210609940028851}",20,0,-102.39795652965395,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.9191023971657747}",25,0,-133.69237959653856,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.9171208228166051}",30,16,-68.88727757773916,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.9151163204946318}",20,0,-75.1841394282555,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.9130889403123083}",30,0,-123.6042048564818,"{0: 20, 1: 5, 2: 2, 3: 1, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.9110387329540337}",20,0,-148.51193308963295,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.9089657496748851}",25,0,-32.72821951618486,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.9068700422993367}",30,0,-72.48918921178779,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.9047516632199634}",25,0,-56.982249253425415,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.9026106653961321}",20,0,-34.358424791617665,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.9004471023526769}",25,0,-99.21900264192482,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.8982610281785611}",25,0,-87.01617637769095,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.8960524975255252}",35,0,-108.40475444739059,"{0: 24, 1: 2, 2: 6, 3: 3, 4: 0}",0
